ad_id,campaign_id,date,country,region,latitude,longitude,service,platform,campaign,impressions,clicks,conversions,ad_spend,attributed_revenue
AD-8626,CAM-997,2026-03-01,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,YouTube Ads,Digital Efficiency,74949,5659,1050,22036.66,3353447.59
AD-8529,CAM-764,2026-01-13,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,LinkedIn Ads,Growth Intelligence,52387,5249,835,49256.15,8782880.15
AD-6010,CAM-849,2025-11-08,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,YouTube Ads,Lead Generation,55903,6697,667,14002.1,7414714.55
AD-9458,CAM-161,2025-12-26,Nigeria,Lagos,6.5244,3.3792,Data Automation,Instagram Ads,Market Expansion,29618,3525,223,50475.51,2870210.56
AD-7473,CAM-730,2026-04-07,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,YouTube Ads,AI Awareness,22979,1672,62,16781.87,300051.75
AD-5772,CAM-878,2026-04-20,Botswana,Gaborone,-24.6282,25.9231,Process Optimisation,Google Ads,Digital Efficiency,46184,2883,474,22847.01,3025473.09
AD-8580,CAM-686,2026-02-02,Zambia,Lusaka,-15.3875,28.3228,Data Automation,Facebook Ads,AI Awareness,83666,6194,1212,12598.42,4331063.47
AD-2114,CAM-103,2026-03-22,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,Facebook Ads,AI Awareness,49712,3061,404,25293.51,4886840.09
AD-6377,CAM-113,2026-03-09,Botswana,Maun,-19.9833,23.4167,Process Optimisation,LinkedIn Ads,Digital Efficiency,57562,4803,463,23450.23,7124239.01
AD-4323,CAM-576,2025-12-15,Kenya,Nairobi,-1.2921,36.8219,AI Chatbot,Instagram Ads,Market Expansion,4044,72,7,43264.52,45487.63
AD-2190,CAM-450,2026-03-04,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,Instagram Ads,Growth Intelligence,19167,975,206,5233.28,920710.45
AD-2491,CAM-778,2026-01-07,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,Facebook Ads,Growth Intelligence,22475,1902,184,24986.45,2719176.99
AD-6432,CAM-897,2025-12-08,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,Facebook Ads,Market Expansion,37422,981,120,31572.39,1636832.34
AD-7994,CAM-197,2026-05-03,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,LinkedIn Ads,Growth Intelligence,18672,2231,281,9582.02,3962348.62
AD-2751,CAM-382,2026-03-14,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Instagram Ads,Growth Intelligence,66357,7941,787,12409.25,9777026.87
AD-3796,CAM-227,2026-04-23,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Facebook Ads,Market Expansion,69955,5636,586,14695.25,2171735.63
AD-8128,CAM-569,2025-11-17,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,LinkedIn Ads,Market Expansion,50439,4651,910,36878.05,10697875.53
AD-2126,CAM-604,2026-03-10,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Google Ads,Growth Intelligence,38734,912,96,20892.61,1043532.62
AD-9324,CAM-780,2026-03-15,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Instagram Ads,Lead Generation,4374,165,33,13773.21,99156.43
AD-3211,CAM-925,2025-11-16,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,Instagram Ads,Market Expansion,83354,5047,718,50518.94,1814326.46
AD-6061,CAM-850,2026-01-05,South Africa,Johannesburg,-26.2041,28.0473,Cybersecurity,YouTube Ads,Market Expansion,81062,7148,903,19315.06,4944268.44
AD-6081,CAM-863,2025-11-15,Botswana,Maun,-19.9833,23.4167,BI Dashboard,LinkedIn Ads,Market Expansion,29315,1471,316,18258.91,2691062.21
AD-8812,CAM-206,2026-01-10,Namibia,Windhoek,-22.5609,17.0658,Data Automation,YouTube Ads,Market Expansion,16985,853,126,49439.66,769682.6
AD-5229,CAM-885,2026-03-02,Botswana,Maun,-19.9833,23.4167,Forecasting Model,LinkedIn Ads,Market Expansion,7020,368,47,4010.07,458321.09
AD-7176,CAM-551,2026-01-28,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Facebook Ads,Lead Generation,66512,4412,160,2584.94,974021.17
AD-8197,CAM-991,2025-11-11,Botswana,Gaborone,-24.6282,25.9231,Process Optimisation,YouTube Ads,Growth Intelligence,73803,2877,479,12360.22,5042993.46
AD-4754,CAM-130,2025-11-19,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,LinkedIn Ads,Growth Intelligence,50551,4707,303,18242.5,1153757.74
AD-4262,CAM-757,2026-04-19,Botswana,Maun,-19.9833,23.4167,Process Optimisation,Facebook Ads,Market Expansion,19270,291,26,12489.99,95759.06
AD-8162,CAM-160,2025-12-05,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,LinkedIn Ads,Market Expansion,83332,4248,588,8185.81,8119296.14
AD-2026,CAM-122,2026-02-17,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,YouTube Ads,Market Expansion,22962,1683,62,46815.33,295170.71
AD-4031,CAM-182,2026-04-19,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Facebook Ads,Growth Intelligence,58683,3622,136,11595.09,1454428.72
AD-6510,CAM-788,2025-12-28,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,YouTube Ads,Digital Efficiency,71080,2004,210,40378.3,963683.5
AD-9551,CAM-388,2026-03-16,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,Instagram Ads,AI Awareness,67626,3621,242,34920.43,3552028.02
AD-9065,CAM-821,2026-02-26,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Google Ads,AI Awareness,60939,3226,284,23888.81,4265459.5
AD-6777,CAM-786,2025-12-16,Botswana,Gaborone,-24.6282,25.9231,AI Chatbot,YouTube Ads,AI Awareness,16489,382,45,44726.82,336117.77
AD-7909,CAM-380,2026-02-03,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Instagram Ads,Digital Efficiency,22451,1202,188,31876.33,1312969.43
AD-9345,CAM-393,2025-11-14,Namibia,Windhoek,-22.5609,17.0658,BI Dashboard,Facebook Ads,Market Expansion,26744,2953,623,15098.11,8470221.4
AD-2079,CAM-160,2025-12-10,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Google Ads,Market Expansion,65959,6717,1212,47650.03,7266553.67
AD-6214,CAM-860,2026-02-01,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,LinkedIn Ads,Market Expansion,60568,5888,399,35882.66,2034634.04
AD-4397,CAM-931,2026-01-10,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,LinkedIn Ads,Digital Efficiency,36679,3705,584,30690.38,2664174.57
AD-7756,CAM-724,2026-03-13,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,Google Ads,Digital Efficiency,35483,2603,348,8132.85,5310995.26
AD-1818,CAM-524,2026-03-05,Namibia,Windhoek,-22.5609,17.0658,Cybersecurity,LinkedIn Ads,Growth Intelligence,70387,8172,1752,44961.48,16487903.45
AD-7104,CAM-698,2025-12-24,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Facebook Ads,AI Awareness,46783,5523,805,13735.95,2350080.87
AD-1691,CAM-331,2026-05-04,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Google Ads,Growth Intelligence,81558,9785,1288,50440.05,5636474.97
AD-3783,CAM-177,2025-12-02,Namibia,Windhoek,-22.5609,17.0658,Process Optimisation,Instagram Ads,Market Expansion,73022,8468,331,37307.37,1209062.33
AD-5934,CAM-652,2025-12-17,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,LinkedIn Ads,Market Expansion,57763,6809,800,22929.43,11592360.08
AD-6498,CAM-118,2026-04-18,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Instagram Ads,Market Expansion,16887,1995,127,15143.46,798782.33
AD-4639,CAM-329,2025-12-29,Kenya,Nairobi,-1.2921,36.8219,Forecasting Model,Instagram Ads,Digital Efficiency,28072,2992,394,31169.63,3408963.35
AD-6402,CAM-349,2025-12-11,Kenya,Nairobi,-1.2921,36.8219,Process Optimisation,Facebook Ads,Digital Efficiency,4314,486,44,44695.41,295125.19
AD-2699,CAM-999,2026-04-24,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Instagram Ads,AI Awareness,25429,1268,142,25464.28,1900589.44
AD-6142,CAM-640,2026-05-04,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,YouTube Ads,Growth Intelligence,9754,360,24,21969.76,182638.85
AD-8123,CAM-151,2025-12-24,South Africa,Cape Town,-33.9249,18.4241,Data Automation,LinkedIn Ads,Lead Generation,4524,345,56,49893.56,616967.18
AD-2194,CAM-512,2026-04-01,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,Google Ads,Market Expansion,32519,506,51,50464.25,607243.52
AD-5082,CAM-712,2026-03-13,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Facebook Ads,Digital Efficiency,35389,1293,184,33681.57,2002739.82
AD-8298,CAM-906,2025-11-19,Botswana,Maun,-19.9833,23.4167,Forecasting Model,Instagram Ads,Market Expansion,20880,2242,331,46179.86,3788893.14
AD-7921,CAM-564,2026-03-02,Botswana,Maun,-19.9833,23.4167,Forecasting Model,YouTube Ads,Digital Efficiency,31023,2532,231,23866.62,1467738.57
AD-4052,CAM-862,2025-11-14,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,YouTube Ads,Growth Intelligence,69488,3302,450,42673.85,3130330.62
AD-4247,CAM-834,2026-02-19,Botswana,Maun,-19.9833,23.4167,Forecasting Model,LinkedIn Ads,Lead Generation,30259,530,38,34645.23,137301.43
AD-4458,CAM-759,2025-12-29,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Facebook Ads,AI Awareness,11912,415,84,16687.58,796123.42
AD-2179,CAM-996,2026-02-07,Botswana,Maun,-19.9833,23.4167,Cybersecurity,Facebook Ads,Lead Generation,77672,2046,216,27754.79,2503357.46
AD-1018,CAM-402,2026-05-03,Botswana,Maun,-19.9833,23.4167,Process Optimisation,Instagram Ads,Market Expansion,84850,1387,133,17063.18,587850.36
AD-1217,CAM-799,2025-12-16,Botswana,Maun,-19.9833,23.4167,Data Automation,Facebook Ads,AI Awareness,69483,7140,1301,23292.3,3891001.9
AD-3115,CAM-708,2026-01-24,Botswana,Francistown,-21.1702,27.5079,Data Automation,YouTube Ads,Lead Generation,47528,811,69,37348.05,376347.21
AD-3455,CAM-460,2026-01-01,Botswana,Maun,-19.9833,23.4167,Cybersecurity,Google Ads,AI Awareness,26897,2369,443,25902.81,2091232.82
AD-4724,CAM-457,2026-01-11,Botswana,Francistown,-21.1702,27.5079,AI Chatbot,Google Ads,Market Expansion,35510,2012,340,35024.09,3617439.26
AD-9873,CAM-878,2025-12-27,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,Instagram Ads,Market Expansion,10421,249,30,39830.7,136306.68
AD-8953,CAM-495,2025-11-30,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Instagram Ads,Digital Efficiency,65845,5895,538,46654.49,6227563.28
AD-8882,CAM-583,2025-11-26,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,YouTube Ads,Market Expansion,58883,1884,85,32308.06,532622.27
AD-8318,CAM-594,2026-02-07,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,Facebook Ads,Digital Efficiency,72669,2723,336,42434.85,1512001.11
AD-2083,CAM-889,2026-03-15,South Africa,Johannesburg,-26.2041,28.0473,HR Analytics,LinkedIn Ads,Market Expansion,6207,639,77,46941.21,720439.35
AD-5661,CAM-134,2026-03-01,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,Google Ads,Digital Efficiency,65570,6597,646,51585.76,4807021.66
AD-8388,CAM-757,2026-02-03,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,YouTube Ads,AI Awareness,50689,1083,139,30027.16,1615052.95
AD-4037,CAM-572,2026-03-06,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Instagram Ads,Lead Generation,38889,1154,78,9604.16,840482.53
AD-1224,CAM-524,2026-03-21,Botswana,Gaborone,-24.6282,25.9231,Data Automation,Google Ads,AI Awareness,38738,3289,613,16598.55,2468008.33
AD-1317,CAM-849,2026-03-27,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,Facebook Ads,Growth Intelligence,36509,1833,154,51884.0,2176699.02
AD-3407,CAM-570,2026-02-20,Botswana,Maun,-19.9833,23.4167,HR Analytics,YouTube Ads,Digital Efficiency,69468,7548,1190,48843.96,10711014.78
AD-8005,CAM-151,2026-03-23,Kenya,Nairobi,-1.2921,36.8219,HR Analytics,Facebook Ads,Market Expansion,71870,5754,709,17676.04,7701446.3
AD-9498,CAM-475,2026-03-01,Botswana,Gaborone,-24.6282,25.9231,HR Analytics,Instagram Ads,Growth Intelligence,41457,2641,168,27843.42,1719865.63
AD-7048,CAM-417,2026-01-17,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,Instagram Ads,AI Awareness,62601,5822,799,48750.34,3149787.32
AD-5758,CAM-743,2026-04-17,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,Google Ads,Digital Efficiency,59294,6648,576,9180.49,8069970.32
AD-5553,CAM-483,2025-11-24,Botswana,Francistown,-21.1702,27.5079,Data Automation,Instagram Ads,AI Awareness,43688,4130,420,18975.47,4493267.42
AD-9825,CAM-347,2025-12-13,Zambia,Lusaka,-15.3875,28.3228,BI Dashboard,Google Ads,Lead Generation,25089,2044,235,24540.7,2841443.32
AD-1185,CAM-917,2025-12-21,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,LinkedIn Ads,Growth Intelligence,54412,1290,253,6065.23,2187615.54
AD-2279,CAM-275,2026-03-13,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Facebook Ads,Market Expansion,30190,943,193,26917.54,3059647.9
AD-9688,CAM-939,2026-03-04,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Google Ads,Growth Intelligence,67788,7158,1504,38702.71,5950585.81
AD-4217,CAM-909,2026-03-17,Kenya,Nairobi,-1.2921,36.8219,Data Automation,Instagram Ads,Digital Efficiency,72953,3705,308,15797.52,2007720.62
AD-7649,CAM-893,2026-02-28,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,LinkedIn Ads,Growth Intelligence,30107,3221,262,38047.54,848262.85
AD-7993,CAM-212,2026-03-12,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,YouTube Ads,Growth Intelligence,84982,6540,1384,7523.45,12759915.8
AD-8851,CAM-980,2026-03-24,South Africa,Cape Town,-33.9249,18.4241,Cybersecurity,Instagram Ads,AI Awareness,47286,711,138,47893.48,534402.94
AD-6089,CAM-363,2026-02-08,Botswana,Gaborone,-24.6282,25.9231,HR Analytics,Instagram Ads,Digital Efficiency,11078,191,35,42177.02,269441.26
AD-6028,CAM-966,2026-02-19,Kenya,Nairobi,-1.2921,36.8219,Data Automation,YouTube Ads,Digital Efficiency,16336,1469,297,46287.42,4459383.68
AD-6357,CAM-237,2026-02-13,South Africa,Johannesburg,-26.2041,28.0473,Data Automation,Facebook Ads,Digital Efficiency,57046,4943,185,7993.13,1287576.84
AD-6674,CAM-298,2025-11-15,Botswana,Gaborone,-24.6282,25.9231,AI Chatbot,Google Ads,Lead Generation,83284,9551,815,25407.59,5144884.6
AD-7621,CAM-495,2025-11-08,Botswana,Maun,-19.9833,23.4167,HR Analytics,Google Ads,Market Expansion,44780,5204,479,38532.87,6504227.29
AD-6651,CAM-452,2026-01-28,Botswana,Maun,-19.9833,23.4167,Process Optimisation,Facebook Ads,AI Awareness,33527,3084,435,20714.99,1334731.7
AD-9975,CAM-966,2026-02-03,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Google Ads,Digital Efficiency,61712,5138,210,34428.18,2735096.05
AD-2805,CAM-931,2026-03-19,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,LinkedIn Ads,Market Expansion,55428,5375,1052,12734.24,11488474.26
AD-7475,CAM-669,2026-01-08,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,Facebook Ads,AI Awareness,41578,4703,1012,44796.86,10592099.42
AD-9179,CAM-120,2025-12-13,Botswana,Gaborone,-24.6282,25.9231,BI Dashboard,Instagram Ads,Digital Efficiency,59150,1832,305,51576.98,3239921.36
AD-1709,CAM-178,2026-04-27,Zambia,Lusaka,-15.3875,28.3228,AI Chatbot,Facebook Ads,AI Awareness,50479,1504,77,48937.42,1019983.0
AD-6567,CAM-439,2026-01-27,South Africa,Johannesburg,-26.2041,28.0473,BI Dashboard,Google Ads,Growth Intelligence,66376,3843,559,49497.23,7804087.21
AD-3193,CAM-647,2026-01-27,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,YouTube Ads,Market Expansion,38402,1429,123,2868.51,485996.32
AD-2844,CAM-267,2026-03-21,Nigeria,Lagos,6.5244,3.3792,Cybersecurity,YouTube Ads,Lead Generation,8240,587,40,41752.02,211539.55
AD-4180,CAM-904,2026-01-08,Zimbabwe,Harare,-17.8292,31.0522,Cybersecurity,Google Ads,Digital Efficiency,70785,6547,311,32681.92,1047700.25
AD-7536,CAM-141,2026-01-04,Nigeria,Lagos,6.5244,3.3792,Forecasting Model,LinkedIn Ads,Market Expansion,54199,4790,957,46257.37,13736562.58
AD-4942,CAM-544,2025-11-29,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,Facebook Ads,Lead Generation,2596,256,46,19177.03,384387.19
AD-1281,CAM-625,2025-12-11,Botswana,Maun,-19.9833,23.4167,BI Dashboard,YouTube Ads,Growth Intelligence,50823,1783,236,36540.18,1056112.84
AD-4712,CAM-677,2026-05-02,Namibia,Windhoek,-22.5609,17.0658,Cybersecurity,LinkedIn Ads,Market Expansion,68747,6804,836,8070.24,11587889.89
AD-8771,CAM-468,2025-12-23,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Instagram Ads,Market Expansion,65383,3735,716,10265.98,9843112.45
AD-1853,CAM-997,2026-03-26,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Facebook Ads,AI Awareness,56643,2700,204,15764.8,1264507.55
AD-2905,CAM-975,2026-02-27,Zimbabwe,Harare,-17.8292,31.0522,HR Analytics,Instagram Ads,Lead Generation,28038,2103,207,41688.69,2729738.01
AD-8560,CAM-440,2026-05-03,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Instagram Ads,Market Expansion,15546,589,45,28185.84,127257.83
AD-2728,CAM-527,2026-04-10,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Google Ads,Digital Efficiency,66085,3016,308,46574.46,1541055.16
AD-6082,CAM-932,2026-04-28,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Instagram Ads,Market Expansion,79278,3818,202,20895.81,1041942.3
AD-5996,CAM-879,2025-11-26,Zimbabwe,Harare,-17.8292,31.0522,Process Optimisation,Google Ads,Market Expansion,37412,2936,233,27289.13,1683921.86
AD-7644,CAM-829,2025-11-26,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,LinkedIn Ads,Digital Efficiency,21062,950,63,28226.15,566120.56
AD-8467,CAM-345,2025-12-14,Zimbabwe,Harare,-17.8292,31.0522,Data Automation,Google Ads,Market Expansion,71795,7231,321,27295.97,4616803.93
AD-2073,CAM-772,2026-03-24,Zambia,Lusaka,-15.3875,28.3228,Data Automation,Instagram Ads,Digital Efficiency,35868,1665,238,35764.59,939060.19
AD-7753,CAM-595,2025-11-21,Zimbabwe,Harare,-17.8292,31.0522,BI Dashboard,LinkedIn Ads,Lead Generation,58163,3432,752,22598.17,6564479.75
AD-3246,CAM-678,2026-04-17,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,LinkedIn Ads,Digital Efficiency,55776,5769,1237,27717.78,13041543.07
AD-7529,CAM-844,2025-12-02,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,YouTube Ads,Growth Intelligence,39933,2370,479,7050.49,1617009.16
AD-7345,CAM-250,2026-05-01,Zambia,Lusaka,-15.3875,28.3228,HR Analytics,Facebook Ads,AI Awareness,8048,301,54,43269.76,306489.95
AD-3749,CAM-912,2026-03-12,Botswana,Francistown,-21.1702,27.5079,BI Dashboard,YouTube Ads,Growth Intelligence,37710,3594,615,17059.12,5254349.31
AD-9835,CAM-972,2026-05-07,Zimbabwe,Harare,-17.8292,31.0522,AI Chatbot,YouTube Ads,Digital Efficiency,2928,169,16,22528.53,131664.82
AD-1878,CAM-598,2026-03-25,Kenya,Nairobi,-1.2921,36.8219,Data Automation,YouTube Ads,AI Awareness,70894,1864,250,23198.17,3865180.3
AD-7681,CAM-722,2026-05-07,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,LinkedIn Ads,Growth Intelligence,6248,666,39,38423.26,142869.7
AD-5324,CAM-347,2026-01-19,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Facebook Ads,Digital Efficiency,12673,849,26,45731.13,374237.85
AD-2308,CAM-666,2026-05-07,Botswana,Gaborone,-24.6282,25.9231,Cybersecurity,LinkedIn Ads,Growth Intelligence,64770,7398,597,3835.11,2597719.93
AD-3939,CAM-963,2026-05-07,South Africa,Cape Town,-33.9249,18.4241,HR Analytics,LinkedIn Ads,Growth Intelligence,80629,3358,154,25502.99,681878.89
AD-7940,CAM-797,2026-01-15,Botswana,Francistown,-21.1702,27.5079,Cybersecurity,Instagram Ads,Growth Intelligence,72043,4888,977,47717.64,12608298.62
AD-2804,CAM-923,2025-12-31,Namibia,Windhoek,-22.5609,17.0658,BI Dashboard,Facebook Ads,Market Expansion,55470,2094,394,25744.91,2998873.47
AD-9218,CAM-563,2026-04-29,Nigeria,Lagos,6.5244,3.3792,BI Dashboard,YouTube Ads,Lead Generation,75319,8356,1509,16689.28,12810012.98
AD-2073,CAM-878,2026-04-24,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Google Ads,Digital Efficiency,15126,1729,182,22769.8,2122428.16
AD-8956,CAM-651,2026-01-07,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,LinkedIn Ads,Lead Generation,84287,6406,514,50225.77,5990309.12
AD-9104,CAM-335,2026-02-10,Kenya,Nairobi,-1.2921,36.8219,Process Optimisation,Google Ads,Digital Efficiency,11479,662,36,4388.11,238088.99
AD-1135,CAM-257,2026-01-01,Botswana,Francistown,-21.1702,27.5079,HR Analytics,YouTube Ads,Lead Generation,27087,2277,399,5455.06,2688746.61
AD-2561,CAM-430,2026-02-09,Zambia,Lusaka,-15.3875,28.3228,Cybersecurity,Google Ads,Growth Intelligence,41352,3499,308,44509.2,1229420.54
AD-8655,CAM-349,2025-12-07,Botswana,Maun,-19.9833,23.4167,HR Analytics,YouTube Ads,Market Expansion,64829,7221,589,41756.17,6187828.4
AD-7626,CAM-128,2025-12-17,Botswana,Francistown,-21.1702,27.5079,BI Dashboard,Google Ads,Lead Generation,83018,1885,283,39226.94,3792957.92
AD-1242,CAM-955,2026-04-20,Botswana,Maun,-19.9833,23.4167,AI Chatbot,Facebook Ads,AI Awareness,61967,2900,474,28425.41,6457210.89
AD-9616,CAM-113,2026-02-02,Botswana,Francistown,-21.1702,27.5079,Data Automation,Google Ads,Digital Efficiency,61259,3021,603,21874.33,7093303.06
AD-8843,CAM-315,2026-01-05,Botswana,Gaborone,-24.6282,25.9231,Data Automation,Instagram Ads,Digital Efficiency,57152,2441,496,48694.28,4216721.55
AD-2523,CAM-849,2026-03-31,Nigeria,Lagos,6.5244,3.3792,Process Optimisation,Instagram Ads,AI Awareness,20363,1568,304,28649.38,3383053.76
