client_id,date,country,region,latitude,longitude,segment,industry,service_interest,lead_source,conversion_status,repeat_customer,lifetime_value
C-5004,2026-03-01,Zimbabwe,Harare,-17.8292,31.0522,Enterprise,Education,Forecasting Model,Facebook,Converted,No,234435.61
C-2470,2026-01-13,South Africa,Cape Town,-33.9249,18.4241,Government,Education,AI Chatbot,Google Ads,Lead,No,4905.71
C-8644,2025-11-08,Namibia,Windhoek,-22.5609,17.0658,Enterprise,Insurance,HR Analytics,Email,Lead,Yes,7697.47
C-9469,2025-12-26,Nigeria,Lagos,6.5244,3.3792,Enterprise,Education,Data Automation,Referral,Lead,Yes,3574.37
C-5439,2026-04-07,Namibia,Windhoek,-22.5609,17.0658,Enterprise,Technology,Forecasting Model,Email,Lead,Yes,12538.69
C-2435,2026-04-20,Botswana,Gaborone,-24.6282,25.9231,Government,Insurance,Process Optimisation,Facebook,Converted,Yes,206422.04
C-1401,2026-02-02,Zambia,Lusaka,-15.3875,28.3228,Government,Insurance,Data Automation,Facebook,Lead,Yes,4385.17
C-6604,2026-03-16,Kenya,Nairobi,-1.2921,36.8219,Startup,Insurance,Cybersecurity,Organic,Not Converted,No,14000.17
C-8709,2026-03-22,South Africa,Johannesburg,-26.2041,28.0473,SME,Retail,AI Chatbot,Organic,Converted,No,183170.36
C-7862,2026-03-09,Botswana,Maun,-19.9833,23.4167,SME,Education,Process Optimisation,Facebook,Lead,No,5912.49
C-1898,2025-12-15,Kenya,Nairobi,-1.2921,36.8219,SME,Agriculture,AI Chatbot,Referral,Lead,Yes,7620.21
C-3434,2026-04-17,Botswana,Francistown,-21.1702,27.5079,Enterprise,Mining,Data Automation,Email,Converted,No,157381.32
C-9769,2026-03-04,South Africa,Cape Town,-33.9249,18.4241,SME,Mining,BI Dashboard,Organic,Lead,Yes,10641.36
C-8231,2026-01-07,Namibia,Windhoek,-22.5609,17.0658,Government,Retail,Forecasting Model,Referral,Converted,Yes,214264.36
C-2588,2025-12-08,Botswana,Francistown,-21.1702,27.5079,Startup,Finance,Process Optimisation,LinkedIn,Lead,Yes,12501.52
C-5086,2026-05-03,Botswana,Gaborone,-24.6282,25.9231,SME,Finance,Forecasting Model,Facebook,Not Converted,No,3871.32
C-2870,2026-03-14,Zimbabwe,Harare,-17.8292,31.0522,Startup,Agriculture,Forecasting Model,Facebook,Lead,No,5655.92
C-8393,2026-04-23,Nigeria,Lagos,6.5244,3.3792,Government,Retail,AI Chatbot,Referral,Lead,No,6278.17
C-3216,2025-11-17,Zambia,Lusaka,-15.3875,28.3228,SME,Technology,Process Optimisation,Google Ads,Lead,Yes,16013.63
C-5705,2026-03-10,Nigeria,Lagos,6.5244,3.3792,Startup,Insurance,HR Analytics,Referral,Converted,No,28311.87
C-7862,2026-03-15,South Africa,Johannesburg,-26.2041,28.0473,SME,Technology,Forecasting Model,Referral,Converted,No,135109.18
C-7020,2025-11-16,Botswana,Gaborone,-24.6282,25.9231,NGO,Agriculture,Forecasting Model,Email,Lead,No,10762.25
C-6028,2026-01-19,Zambia,Lusaka,-15.3875,28.3228,Startup,Insurance,Forecasting Model,Organic,Lead,Yes,12588.83
C-8955,2026-03-15,Botswana,Maun,-19.9833,23.4167,Government,Education,Forecasting Model,Organic,Lead,No,8840.33
