campaign_id,date,country,region,latitude,longitude,service,campaign,channel,segment,impressions,clicks,leads,conversions,campaign_cost,revenue_generated
CAM-997,2026-03-01,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Digital Efficiency,Facebook,Enterprise,74949,5659,1787,570,27207.57,3409641.49
CAM-764,2026-01-13,South Africa,Cape Town,-33.9249,18.4241,AI Chatbot,Growth Intelligence,Google Ads,Government,52387,5249,931,466,31106.66,2121458.82
CAM-849,2025-11-08,Namibia,Windhoek,-22.5609,17.0658,HR Analytics,Lead Generation,Email,Enterprise,55903,6697,1029,448,16113.89,5384011.32
CAM-161,2025-12-26,Nigeria,Lagos,6.5244,3.3792,Data Automation,Market Expansion,Referral,Enterprise,29618,3525,651,91,29737.95,872384.65
CAM-730,2026-04-07,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,AI Awareness,Email,Enterprise,22979,1672,489,198,28449.46,2189094.37
CAM-878,2026-04-20,Botswana,Gaborone,-24.6282,25.9231,Process Optimisation,Digital Efficiency,Facebook,Government,46184,2883,380,120,7311.73,705846.05
CAM-686,2026-02-02,Zambia,Lusaka,-15.3875,28.3228,Data Automation,AI Awareness,Facebook,Government,83666,6194,2197,695,9477.25,4493096.92
CAM-247,2026-03-16,Kenya,Nairobi,-1.2921,36.8219,Cybersecurity,Digital Efficiency,Organic,Startup,4012,451,157,80,34633.76,356628.66
CAM-103,2026-03-22,South Africa,Johannesburg,-26.2041,28.0473,AI Chatbot,AI Awareness,Organic,SME,49712,3061,1032,465,15265.47,1620822.26
CAM-113,2026-03-09,Botswana,Maun,-19.9833,23.4167,Process Optimisation,Digital Efficiency,Facebook,SME,57562,4803,1103,303,2457.85,3895874.44
CAM-576,2025-12-15,Kenya,Nairobi,-1.2921,36.8219,AI Chatbot,Market Expansion,Referral,SME,4044,72,11,6,16294.15,54196.58
CAM-398,2026-04-17,Botswana,Francistown,-21.1702,27.5079,Data Automation,Lead Generation,Email,Enterprise,44465,3206,595,216,7077.55,2707979.45
CAM-450,2026-03-04,South Africa,Cape Town,-33.9249,18.4241,BI Dashboard,Growth Intelligence,Organic,SME,19167,975,132,45,5516.83,542309.41
CAM-778,2026-01-07,Namibia,Windhoek,-22.5609,17.0658,Forecasting Model,Growth Intelligence,Referral,Government,22475,1902,231,90,22743.63,814086.16
CAM-897,2025-12-08,Botswana,Francistown,-21.1702,27.5079,Process Optimisation,Market Expansion,LinkedIn,Startup,37422,981,128,54,38275.06,562831.46
CAM-197,2026-05-03,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,Growth Intelligence,Facebook,SME,18672,2231,239,142,37062.55,1208520.6
CAM-382,2026-03-14,Zimbabwe,Harare,-17.8292,31.0522,Forecasting Model,Growth Intelligence,Facebook,Startup,66357,7941,833,205,2696.69,551251.26
CAM-227,2026-04-23,Nigeria,Lagos,6.5244,3.3792,AI Chatbot,Market Expansion,Referral,Government,69955,5636,1921,963,18469.56,11714806.1
CAM-569,2025-11-17,Zambia,Lusaka,-15.3875,28.3228,Process Optimisation,Market Expansion,Google Ads,SME,50439,4651,435,261,30090.35,896790.92
CAM-604,2026-03-10,Nigeria,Lagos,6.5244,3.3792,HR Analytics,Growth Intelligence,Referral,Startup,38734,912,239,106,26444.99,1190227.22
CAM-780,2026-03-15,South Africa,Johannesburg,-26.2041,28.0473,Forecasting Model,Lead Generation,Referral,SME,4374,165,57,23,14458.25,207796.59
CAM-925,2025-11-16,Botswana,Gaborone,-24.6282,25.9231,Forecasting Model,Market Expansion,Email,NGO,83354,5047,1211,624,3725.62,6365574.93
CAM-146,2026-01-19,Zambia,Lusaka,-15.3875,28.3228,Forecasting Model,Lead Generation,Organic,Startup,5683,159,24,9,14416.52,16866.7
