sale_id,date,client_id,campaign_id,country,region,latitude,longitude,market_status,service,salesperson,segment,revenue,cost,profit,pipeline_stage,win_loss_status,sales_cycle_days
S-30872,2026-03-01,C-5004,CAM-997,Zimbabwe,Harare,-17.8292,31.0522,Potential,Forecasting Model,Kabelo,Enterprise,87636.28,46743.83,40892.45,Lead,Pending,32
S-26508,2026-04-20,C-2435,CAM-878,Botswana,Gaborone,-24.6282,25.9231,Existing,Process Optimisation,Mpho,Government,89407.95,42976.7,46431.25,Qualified,Won,71
S-58415,2026-03-22,C-8709,CAM-103,South Africa,Johannesburg,-26.2041,28.0473,Existing,AI Chatbot,Kabelo,SME,88849.49,58905.2,29944.29,Lead,Lost,49
S-38319,2026-01-07,C-8231,CAM-778,Namibia,Windhoek,-22.5609,17.0658,Expansion,Forecasting Model,Neo,Government,23302.28,15140.19,8162.09,Lead,Pending,29
S-59582,2026-03-15,C-7862,CAM-780,South Africa,Johannesburg,-26.2041,28.0473,Existing,Forecasting Model,Kabelo,SME,45916.79,30519.96,15396.83,Qualified,Pending,69
S-38768,2026-01-05,C-2918,CAM-850,South Africa,Johannesburg,-26.2041,28.0473,Existing,Cybersecurity,Thato,NGO,56343.89,28379.2,27964.69,Qualified,Won,54
S-67404,2025-11-15,C-3451,CAM-863,Botswana,Maun,-19.9833,23.4167,Expansion,BI Dashboard,Boitumelo,Startup,63429.64,42716.25,20713.39,Proposal,Lost,62
S-70183,2026-01-05,C-1983,CAM-291,Botswana,Francistown,-21.1702,27.5079,Growth,Data Automation,Kabelo,Enterprise,49569.9,16236.72,33333.18,Proposal,Won,5
S-46430,2026-04-19,C-5300,CAM-182,Zimbabwe,Harare,-17.8292,31.0522,Potential,HR Analytics,Aisha,SME,30184.67,10180.89,20003.78,Closed,Lost,68
S-58172,2026-02-26,C-7242,CAM-821,South Africa,Cape Town,-33.9249,18.4241,Growth,HR Analytics,Thato,SME,86240.67,46691.03,39549.64,Closed,Lost,18
S-15742,2025-12-10,C-6576,CAM-160,Zambia,Lusaka,-15.3875,28.3228,Potential,HR Analytics,Boitumelo,NGO,50121.42,28980.35,21141.07,Closed,Lost,73
S-49612,2026-01-10,C-4255,CAM-931,Zambia,Lusaka,-15.3875,28.3228,Potential,Process Optimisation,Mpho,Startup,24052.62,9884.03,14168.59,Negotiation,Lost,67
S-73985,2025-12-31,C-3500,CAM-627,South Africa,Cape Town,-33.9249,18.4241,Growth,HR Analytics,Lerato,Enterprise,19218.06,6024.71,13193.35,Proposal,Lost,17
S-80618,2026-02-19,C-6996,CAM-834,Botswana,Maun,-19.9833,23.4167,Expansion,Forecasting Model,Boitumelo,Enterprise,28085.08,9981.94,18103.14,Negotiation,Won,13
S-68082,2026-02-28,C-6196,CAM-815,South Africa,Cape Town,-33.9249,18.4241,Growth,Cybersecurity,Kabelo,NGO,109767.07,52138.77,57628.3,Lead,Lost,12
S-26019,2026-05-03,C-1888,CAM-402,Botswana,Maun,-19.9833,23.4167,Expansion,Process Optimisation,Boitumelo,SME,63387.03,28053.08,35333.95,Negotiation,Pending,5
S-74849,2025-12-27,C-7066,CAM-878,Kenya,Nairobi,-1.2921,36.8219,Potential,Cybersecurity,Boitumelo,Enterprise,115876.01,37356.85,78519.16,Proposal,Pending,46
